e,f,g,h
0.1,0.4,0.01,0.25
0.3,0.4,0.1,0.25
0.1,0.7,0.1,0.25
0.1,0.4,0.2,0.25
0.1,0.4,0.1,0.4
0.05,0.4,0.1,0.25
0.01,0.8,0.3,0.8
0.25,0.9,0.01,0.02
0.1,0.4,0.15,0.25
0.12,0.2,0.24,0.05
0.1,0.4,0.2,0.25
0.05,0.4,0.1,0.25
0.05,0.4,0.1,0.3
0.15,0.25,0.2,0.1
0.15,0.2,0.2,0.1
0.4,0.8,0.75,0.3
0.4,0.8,0.6,0.3
0.4,0.8,0.5,0.3
